id;name;short_description;full_description;main_goals;estimated_duration_time;last_performed_date;created_at;activation_status;type_of_activity_id
1;from longingly;psychology toward present;ouch between;or elaborate;6820;2024-06-09;2024-06-09T10:47:36;INVALID;1
2;provided yet;yippee merchandise times;displacement tomorrow;somber besides exterior;32206;2024-06-09;2024-06-09T15:46:49;INACTIVE;2
3;softening memorial whose;pfft;whether against;saddle except instrument;32360;2024-06-09;2024-06-09T05:07:10;BLOCKED;3
4;after sand personality;faff petty;who;and monthly;28324;2024-06-09;2024-06-09T09:13:26;ACTIVE;4
5;frown;payment swiftly;notwithstanding rostrum helplessly;these loyal;5613;2024-06-09;2024-06-08T19:34:16;BLOCKED;5
6;peppery;why normalization;before gang;except rabbit apud;26696;2024-06-08;2024-06-09T01:31:12;ACTIVE;6
7;how tragic;collar repair;gloomy though;partially anti recklessly;29253;2024-06-09;2024-06-09T03:18:54;PENDENT;7
8;inasmuch unique whereas;arrogantly once mostly;woot detail whether;kiss;16654;2024-06-09;2024-06-09T07:38:36;INACTIVE;8
9;courageously remap;nor;because;classroom um;22638;2024-06-08;2024-06-08T16:25:06;ACTIVE;9
10;fortunately;instrument conjecture what;carrier;adept;16800;2024-06-08;2024-06-08T23:46:45;ACTIVE;10
