id;inventory_product_id;sku_code;custom_name;custom_description;price_value;item_size;activation_status
1;18115;accentuate;ill-informed;a lifestyle eek;3388.3;XL;ON_HOLD
2;3649;sustainment whopping gosh;picnic absent;attentive angry;8587.82;XL;ACTIVE
3;23766;adored valiantly;hm close;wherever soon rag;3791.16;M;INVALID
4;12793;for caramel wherever;moist;gah melodic euthanize;24552.04;XL;ON_HOLD
5;24844;hence brr;aha;astrology since um;735.15;XXXL;PENDENT
6;6814;propagandize instantly unlike;once;winged upbeat;20957.66;XL;INVALID
7;31031;ferociously keenly ennoble;whoa resist;or ha distorted;10489.01;XL;INVALID
8;14645;honor independence;regarding;mild yowza;22243.59;XXXL;BLOCKED
9;10489;down;controller gah;cool;17297.15;L;INVALID
10;26094;currency tankful;lest who;destabilize toward who;22980.43;XL;PENDENT
