id;acronym;public_name;real_name;biography_details_json;type_of_artmedia_id;type_of_artist_id
1;modulo instead;even because;list;backfill hence heavy;1;1
2;whoa;as for but;ton;dreamily annually;2;2
3;orderly;clock woot once;broker barley;same furiously;3;3
4;pail geez;truthful blindly;feather paperback subsidise;mundane ascent;4;4
5;that familiarity;till ack;halloween supposing frightfully;extremely;5;5
6;likewise;woot;glitter palace;yowza yet whoa;6;6
7;now plus;feign triumphantly meanwhile;ghost database;outside alteration;7;7
8;yippee revitalise while;incidentally along while;against;adventurous;8;8
9;dine criminalize;couple brick moonwalk;internal;since odd worth;9;9
10;pish;to what or;morbidity forward too;vice hour;10;10
