id;artwork_title;production_year;season_number;episode_or_sequence_number;register_id_in_imdb;assets_collection_uuid;content_details_json;type_of_artmedia_id
1;supposing excluding;20161;9216;15965;a boohoo;lieutenant evangelize than;cheer as;1
2;righteously;14212;9920;30859;yahoo;sew huzzah ambiguity;via donor woeful;2
3;onto huzzah;5528;14654;12823;specific;daintily prospect;drum between;3
4;mmm false;27498;31906;24230;zowie;snorer anenst;since by;4
5;culvert oof;21840;3511;25864;overjoyed;outside;delightful whether;5
6;who woot feminine;29808;3868;16884;gosh instead;never riddle owlishly;hairy cation oh;6
7;anxious forenenst;5792;423;2728;whoa ecosystem vital;jewel rapidly;via ack;7
8;curate outside because;4954;30894;24899;considerate;naturally round;um parliament scholarly;8
9;once;27271;6627;15420;bah furiously weekly;yum cap;provided in;9
10;blah via preface;22999;13381;17130;apud toward;till distorted fooey;fiercely distant before;10
