id;order_of_appearance;character_name;main_asset_uuid;character_details_json;artwork_id;artist_id
1;1382;phooey indeed ack;replicate or coarse;wound ha;1;1
2;22754;intimidate;separate batting;unlike ick;2;2
3;30798;rent swagger;given shakily even;rainstorm aboard yahoo;3;3
4;24304;ultimately;scrawny;astride which against;4;4
5;8489;safely ah abaft;dentist scrutinize;heartbeat;5;5
6;20992;but after welcome;dimpled after fooey;thoughtfully;6;6
7;11245;rheumatism twinkle;boohoo stained since;quick fend patty;7;7
8;5043;circa yuck reproachfully;er;now hm;8;8
9;17700;zowie cuddly;exhaust;whereas inside;9;9
10;16132;hungrily occasional enchanting;pace;eddy or nestle;10;10
