id;acronym;name;description;logo_brand;logo_brand_content_type
1;series fraudster who;rice woot minus;freezer;../fake-data/blob/hipster.png;image/png
2;unravel in yowza;round corner;jealous till foolish;../fake-data/blob/hipster.png;image/png
3;ew blissfully neighb;without although;majestically dearest;../fake-data/blob/hipster.png;image/png
4;hungry;easy-going to tank-top;upside-down;../fake-data/blob/hipster.png;image/png
5;meanwhile moralize;meek;until;../fake-data/blob/hipster.png;image/png
6;proper;distill mostly;photoreceptor lest till;../fake-data/blob/hipster.png;image/png
7;cloudy;wry juice;about;../fake-data/blob/hipster.png;image/png
8;boohoo;stole repeatedly immense;after awkward hill;../fake-data/blob/hipster.png;image/png
9;willfully;upliftingly reoffend;ugh outside shabby;../fake-data/blob/hipster.png;image/png
10;whenever ack notwith;adventurous smoothly despite;aboard peach unaccountably;../fake-data/blob/hipster.png;image/png
