id;acronym;hierarchical_level;name;activation_status;organization_id
1;nervously exploit;irresponsible;wetly;INVALID;1
2;uh-huh boohoo upward;which passport;because;ACTIVE;2
3;carve now lysine;photography weary absent;used inasmuch;PENDENT;3
4;pleasant;kookily ew blaring;subtle powerful whoa;ON_HOLD;4
5;notwithstanding;prepone the populist;yum up;PENDENT;5
6;lick;suburban foolish macaroni;and;INVALID;6
7;openly pleasant hidd;before hard hm;appall insomnia;INVALID;7
8;energetically pest;readily;blah;ACTIVE;8
9;impugn aching unnece;thermometer vanadyl;tomorrow oof;INVALID;9
10;gee;adjust which waltz;square garden;ON_HOLD;10
