id;acronym;name;description;handler_clazz_name
1;live;whoa;woot;advanced oblong stealthily
2;crisp;bullet silently upright;worried acrobatic drat;since
3;glorify equalize drat;save;these;unexpectedly ugh colorless
4;barring spill;matchmaker whoa;dogsled bewitched;wherever conformation
5;likewise fooey ouch;nutritious;bah;pineapple hm
6;across;lovely;yahoo unto drat;date
7;horrible;impanel;disestablish highway nauseate;hopeful
8;grouse;tick;dramatic against;well-groomed however provided
9;against oh;yippee;blah across dearly;that to
10;as;jealously as;onto across;markup gadzooks
