id;acronym;name;description;street_address;house_number;location_name;postal_code;geo_polygon_area;geo_polygon_area_content_type;district_id
1;ugh sass ritualize;extremely;shocking taro;round ew er;deploy crook;till;now exact;../fake-data/blob/hipster.png;image/png;1
2;defend before where;upbeat aha;wherever marten meh;payoff;than chubby;idealistic ha;opposite;../fake-data/blob/hipster.png;image/png;2
3;slowly lustrous past;ack;joyful below widget;triumphantly bouncy;dry;mmm boohoo;busk;../fake-data/blob/hipster.png;image/png;3
4;torpedo jealous;boohoo fearful splendid;given past;whoever landform barring;nor once instantly;vastly;psst mmm ;../fake-data/blob/hipster.png;image/png;4
5;stigmatise;but how takeover;void;mayor;scholarly;ligula aboard;duh;../fake-data/blob/hipster.png;image/png;5
6;frequency plush;agonizing roster instantly;unless wherever;devoted;gah puddle;who even meh;which;../fake-data/blob/hipster.png;image/png;6
7;seriously till orner;since fooey;drab option;aha eek;nor next;possession woot deviance;than;../fake-data/blob/hipster.png;image/png;7
8;regarding unto;mmm lively;consequently undock;jolt aromatic;which ah;inexperienced;oh;../fake-data/blob/hipster.png;image/png;8
9;brr;unnaturally times;nudge badly;lamb;because fatally;because;uh-huh;../fake-data/blob/hipster.png;image/png;9
10;detective fatal fren;between;meanwhile;pro;hastily before suppo;whether as probability;hmph;../fake-data/blob/hipster.png;image/png;10
