id;acronym;name;continent;geo_polygon_area;geo_polygon_area_content_type
1;rop;likewise burst athwart;EUROPE;../fake-data/blob/hipster.png;image/png
2;or;broaden truck;ASIA;../fake-data/blob/hipster.png;image/png
3;dep;procrastinate;ASIA;../fake-data/blob/hipster.png;image/png
4;mem;ouch;CENTRAL_AMERICA;../fake-data/blob/hipster.png;image/png
5;ben;playfully notwithstanding;NORTH_AMERICA;../fake-data/blob/hipster.png;image/png
6;pun;finally dessert wherever;OCEANIA;../fake-data/blob/hipster.png;image/png
7;er;consequently wildly highly;ASIA;../fake-data/blob/hipster.png;image/png
8;per;impish modulate;AFRICA;../fake-data/blob/hipster.png;image/png
9;aha;per macrofauna;SOUTH_AMERICA;../fake-data/blob/hipster.png;image/png
10;den;eyelashes mediate um;CENTRAL_AMERICA;../fake-data/blob/hipster.png;image/png
