id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;town_city_id
1;woot;wrongly;../fake-data/blob/hipster.png;image/png;1
2;metal wr;cage;../fake-data/blob/hipster.png;image/png;2
3;hmph aug;remark by stratify;../fake-data/blob/hipster.png;image/png;3
4;although;given graceful very;../fake-data/blob/hipster.png;image/png;4
5;consul u;hovercraft eyelashes;../fake-data/blob/hipster.png;image/png;5
6;forenens;stop;../fake-data/blob/hipster.png;image/png;6
7;patrolli;what;../fake-data/blob/hipster.png;image/png;7
8;ugh acro;supposing galoshes;../fake-data/blob/hipster.png;image/png;8
9;impressi;drat hence considering;../fake-data/blob/hipster.png;image/png;9
10;geez;visit plastic now;../fake-data/blob/hipster.png;image/png;10
