id;acronym;name;description;full_description;start_time;end_time;default_ticket_value;status;activation_status;type_of_event_id
1;yearly subsidise;mmm strong below;including;healthily brr;2024-06-09T11:08:14;2024-06-08T23:26:39;6603.51;IN_PREVIEM;INACTIVE;1
2;enormously naturally psst;urgently geez;during before;construction yearningly;2024-06-08T22:21:52;2024-06-09T08:15:24;3284.16;OTHER;PENDENT;2
3;spork ouch ick;pish;postbox grovel;dream;2024-06-09T10:15:57;2024-06-08T22:52:06;30546.84;CONFIRMED;PENDENT;3
4;wherever gently;save quartet;comfortable;however behind;2024-06-08T16:08:02;2024-06-08T19:52:45;20381.74;DRAFT;ON_HOLD;4
5;huzzah;beneath;pish oh;boohoo;2024-06-09T03:40:49;2024-06-09T12:19:03;17458.2;OPEN;BLOCKED;5
6;ack although surface;whenever;ha;now even;2024-06-09T06:48:51;2024-06-09T04:37:42;1515.83;OTHER;INACTIVE;6
7;overcooked inside um;amidst;incompatible tart;service;2024-06-08T18:59:33;2024-06-09T15:47:01;21079.1;IN_PREVIEM;PENDENT;7
8;which;off;than upliftingly coinsurance;garrison through ouch;2024-06-09T07:27:19;2024-06-08T16:37:08;6990.15;DRAFT;ON_HOLD;8
9;curiously nationalize wound;kiddingly;down popular collard;gosh flamboyant pace;2024-06-08T21:24:42;2024-06-09T13:28:43;12635.98;PERFORMED;ACTIVE;9
10;dump swiftly but;past ha broadly;eulogize finally;leafy housing;2024-06-08T23:38:31;2024-06-08T22:08:07;19344.94;CONFIRMED;ON_HOLD;10
