id;attended_as_role;was_present_in_event;should_buy_ticket;ticket_number;seat_number
1;proper;true;true;operation record sup;unless
2;politely quote;true;true;beneath sheepishly t;trouble re
3;evenly priesthood filthy;true;false;autumn boycott spicy;bah
4;price;false;true;worth;rare
5;outside sic;false;false;qua fairly;pertinent 
6;homework ink;true;true;forenenst where;normalize 
7;heavy downstairs smug;true;false;faithfully open;easily
8;paddle;true;true;finally;where quar
9;unless;true;false;fanlight per;bag clever
10;save lard mattock;true;false;trivialise ouch down;ouch
