id;business_code;placed_date;total_tax_value;total_due_value;status;estimated_delivery_date;activation_status;customer_id
1;provided ossify;2024-06-09T09:14:33;19806.69;12949.12;CANCELLED;2024-06-09T03:51:52;INVALID;1
2;hyphenation;2024-06-09T13:50:01;2221.86;17309.1;PENDING;2024-06-09T05:31:51;ON_HOLD;2
3;huzzah phew;2024-06-08T21:02:33;834.58;3692.25;CANCELLED;2024-06-08T21:40:38;ACTIVE;3
4;if phooey phooey;2024-06-09T01:23:52;4264.45;20175.33;PENDING;2024-06-09T12:12:28;BLOCKED;4
5;mollify drat stravag;2024-06-08T22:15:52;13796.42;1491.67;PENDING;2024-06-09T02:27:32;BLOCKED;5
6;ah glass commonly;2024-06-09T02:12:55;5715.15;30820.05;PENDING;2024-06-09T04:29:57;INACTIVE;6
7;actualise massive;2024-06-08T19:02:31;6504.94;3042.04;PENDING;2024-06-09T12:28:29;ACTIVE;7
8;parley inasmuch year;2024-06-09T08:08:00;25919.14;18048.1;PENDING;2024-06-09T02:37:10;INACTIVE;8
9;beyond inside brr;2024-06-09T12:42:14;8937.06;20033.24;CANCELLED;2024-06-09T13:15:12;BLOCKED;9
10;workbench inasmuch a;2024-06-08T20:59:19;11725.54;1480.62;COMPLETED;2024-06-08T19:37:18;ON_HOLD;10
