id;domain_acronym;name;is_verified;business_handler_clazz;activation_status;organization_id
1;politely gadzooks;along mass proponent;true;wide-eyed;BLOCKED;1
2;switch dragoon;hence;false;yum;ON_HOLD;2
3;after jubilantly;under uh-huh;false;likewise until;ON_HOLD;3
4;considering however aha;trigger icebreaker unusual;true;gleaming design;ON_HOLD;4
5;plump mmm;although;true;calculating;PENDENT;5
6;make;aw southeast because;false;made-up until;ACTIVE;6
7;generate sprint;forgo;true;gator vide;INACTIVE;7
8;lip quinoa lob;until er;true;apropos revolutionise;PENDENT;8
9;director brr retain;drat very;false;as unite after;ON_HOLD;9
10;frankly ratify gah;dearly;true;monumental;ON_HOLD;10
