id;installment_number;payment_due_date;payment_paid_date;payment_amount;type_of_payment;status_payment;custom_attributes_details_json;activation_status;payment_gateway_id
1;9701;2024-06-09T01:53:12;2024-06-09T07:30:41;13014.39;BANK_TRANSFER;PAID;dole holler;ACTIVE;1
2;21122;2024-06-08T16:41:02;2024-06-09T04:30:39;16532.11;OTHER;PAID;limited metabolise spider;ON_HOLD;2
3;16200;2024-06-08T17:20:24;2024-06-08T21:14:28;9260.83;DEBIT;CANCELLED;repentant upside-down;INACTIVE;3
4;21777;2024-06-08T18:02:45;2024-06-09T01:42:36;12590.52;OTHER;PAID;however misbehave;INVALID;4
5;14205;2024-06-08T23:10:49;2024-06-09T01:32:21;20815.06;BANK_TRANSFER;CANCELLED;upbeat devoted;ON_HOLD;5
6;5396;2024-06-09T05:13:24;2024-06-09T03:32:08;2618.01;BANK_TRANSFER;OPEN;eke tee toward;INVALID;6
7;10670;2024-06-09T15:51:41;2024-06-09T01:30:13;16030.51;OTHER;OPEN;indeed;BLOCKED;7
8;30199;2024-06-09T04:24:11;2024-06-08T20:22:34;11318.1;DEBIT;PAID;ouch dearly why;PENDENT;8
9;3951;2024-06-09T09:34:48;2024-06-09T15:48:55;15028.69;CASH;OPEN;hm ill-fated woot;ACTIVE;9
10;18007;2024-06-08T19:11:24;2024-06-09T12:24:01;4073.19;CREDIT;DELAYED;indeed er quirkily;INACTIVE;10
