id;alias_code;description;business_handler_clazz;activation_status
1;stealthily following;ha;impoverish tightly relegate;ON_HOLD
2;agile digress fierce;frightened;contribution;PENDENT
3;drat what orphan;gnu alpha;unimpressively prudent;BLOCKED
4;miscast shrilly;moat hollow fast;gadzooks;ACTIVE
5;atelier ha;discrete afore against;mill camper;INACTIVE
6;abaft and;ack boo;plus digital;INVALID
7;sad;quince polite almighty;print boohoo;BLOCKED
8;soupy;noted huzzah;wherever;INACTIVE
9;um;frankly lasting doubtfully;gorgeous anoint lanky;ACTIVE
10;restfully;zowie strait bossy;astride communion following;INVALID
