id;acronym;name;description;full_description;target_public;activation_status
1;optimistically;quickly safeguard favorite;anxious;spasm worth;yet opposite boo;INACTIVE
2;excluding;right searchingly;greedily geez knavishly;aw;nor;INACTIVE
3;however er warlord;treasure colorlessness;vice whoever;perceive barring;powerfully;BLOCKED
4;ferociously;underneath deplane;ball until philosopher;forenenst rain towards;well sans;ON_HOLD
5;ha;grace amused grip;crewman storm wrap;tempt psst where;clock usually easy-going;PENDENT
6;officially on yippee;about brunch;strident excellent;drat;snorer;PENDENT
7;anti scald;sycamore cheapen beyond;fooey;even up;kookily;ACTIVE
8;disassemble kooky;geez;rob humble unaccountably;mostly;gah whose finally;INVALID
9;step-aunt;port goof;an awkward;in;suddenly likewise;INACTIVE
10;exactly but;modulo unsaddle velodrome;unpleasant behind outside;primary;positive of;ACTIVE
