id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;country_id
1;whe;viewing crate unaccountably;../fake-data/blob/hipster.png;image/png;1
2;gle;scary secret;../fake-data/blob/hipster.png;image/png;2
3;ins;sweaty stir;../fake-data/blob/hipster.png;image/png;3
4;aha;what;../fake-data/blob/hipster.png;image/png;4
5;bel;lawsuit;../fake-data/blob/hipster.png;image/png;5
6;sys;slather;../fake-data/blob/hipster.png;image/png;6
7;chr;immaculate crumble;../fake-data/blob/hipster.png;image/png;7
8;yum;though blah elephant;../fake-data/blob/hipster.png;image/png;8
9;gro;fooey properly;../fake-data/blob/hipster.png;image/png;9
10;min;certainly furthermore;../fake-data/blob/hipster.png;image/png;10
