id;customized_name;start_time;end_time;number_of_attendees;average_evaluation_in_stars;custom_attributtes_details_json;activation_status
1;hence corkscrew;2024-06-08T23:00:44;2024-06-08T20:55:49;4034;4408;slow wrong;BLOCKED
2;across ew plunk;2024-06-08T17:00:45;2024-06-08T18:37:00;173;8384;supposing pie;INVALID
3;girdle;2024-06-08T20:28:28;2024-06-08T22:36:29;27472;22986;hopelessly when familiar;PENDENT
4;medium;2024-06-09T12:53:00;2024-06-08T19:11:27;16701;23553;vinegar joyously;ON_HOLD
5;pish meh insert;2024-06-09T14:06:16;2024-06-09T10:29:24;23247;25007;running hence;ACTIVE
6;difficult;2024-06-08T22:34:41;2024-06-09T05:36:16;8638;8575;electrocute wonderfully affinity;PENDENT
7;ack;2024-06-09T13:22:36;2024-06-09T14:02:02;30157;3546;aggravating too;PENDENT
8;considering motionless;2024-06-08T16:20:18;2024-06-09T12:46:16;23667;7449;economize;INACTIVE
9;meanwhile hairy;2024-06-09T00:58:33;2024-06-08T18:43:04;6346;31245;anenst lively;ACTIVE
10;following license bump;2024-06-09T15:55:35;2024-06-08T19:16:28;20162;13952;answer beyond embargo;INVALID
