id;last_modified_date;remaining_quantity;common_attributes_details_json;warehouse_id;product_id
1;2024-06-09T03:53:50;7504;weatherise fooey decimal;1;1
2;2024-06-09T06:19:04;14592;potentially yowza;2;2
3;2024-06-09T06:29:29;21422;tankful;3;3
4;2024-06-08T16:50:02;7343;down and sans;4;4
5;2024-06-09T10:41:09;4757;above neonate harmonious;5;5
6;2024-06-08T21:05:44;27272;immaterial decay itchy;6;6
7;2024-06-09T13:54:41;7753;huzzah;7;7
8;2024-06-09T12:41:25;31059;brr yippee;8;8
9;2024-06-08T18:13:07;32675;television miserably;9;9
10;2024-06-09T07:50:10;7619;fragment innocently anti;10;10
