id;buying_code;due_payment_date;amount_of_tickets;tax_value;ticket_value;acquired_seats_numbers;description
1;regard scholarly;2024-06-08T19:03:56;17849;9007.98;20289.14;equivocate;gigantism westernise fabricate
2;insistent anenst;2024-06-09T13:31:23;15768;3397.48;5573.77;ouch troubled apud;majestically boohoo
3;drat oleo while;2024-06-09T11:35:59;18016;32590.2;32374.43;reassuringly;sound er
4;judgementally reassuringly;2024-06-09T05:24:29;4094;1041.76;28083.16;never as;single once
5;against;2024-06-09T15:01:26;20662;16556.06;23687.11;obnoxiously blackboard;fizzle
6;on;2024-06-09T05:25:02;30866;6231.02;31523.05;aha;vacantly
7;innervation;2024-06-09T13:30:08;3216;28015.36;22102.57;quietly forked;plus aw
8;per;2024-06-08T22:49:30;20893;4075.65;27552.92;brr yet boohoo;orchid
9;unlike groom;2024-06-09T09:49:06;4804;29664.2;8567.41;wetly value;though
10;kissingly since;2024-06-09T05:47:47;6587;375.12;7863.8;gripping before;even after
