id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;province_id
1;clutch w;silently minus;../fake-data/blob/hipster.png;image/png;1
2;sandblas;bland provided;../fake-data/blob/hipster.png;image/png;2
3;sleepy d;disembark yum;../fake-data/blob/hipster.png;image/png;3
4;grateful;blouse aboard;../fake-data/blob/hipster.png;image/png;4
5;er even ;serious boohoo;../fake-data/blob/hipster.png;image/png;5
6;butter b;capital midst honoree;../fake-data/blob/hipster.png;image/png;6
7;along wa;equate;../fake-data/blob/hipster.png;image/png;7
8;undernea;dependent coruscate why;../fake-data/blob/hipster.png;image/png;8
9;far;round than;../fake-data/blob/hipster.png;image/png;9
10;why;ruin;../fake-data/blob/hipster.png;image/png;10
