id;acronym;name;description;handler_clazz_name
1;fatherly;save badly bespeak;unimpressively;sip where unlike
2;wetly insidious convert;where lime bronco;steep burly duh;energetically excel abjure
3;provided unless cannulate;considering psychoanalyst impressionable;beyond gadzooks;loudly
4;tempo concentrate consequently;drat wasteful overcharge;where;brother-in-law
5;rudely if longingly;grimy limply suddenly;yuck;so even absent
6;spotless athlete soon;practical acceptance;rundown garrote;everlasting instead hose
7;inventor;unless reproachfully meanwhile;recklessly;site circa preside
8;who pledge;flatter interpenetrate;plug;predecessor
9;office while disagree;chafe;for;swiftly pardon successfully
10;pep unless;underneath pro;into psst after;crime freely between
