id;acronym;name;description;handler_clazz_name;custom_attributes_details_json
1;grandmother or since;crumble ew;sailor that;upon shear;almost past plus
2;golden incidentally;following;phew;rare like;inside athwart who
3;shrill;coaxingly dawn ew;awkwardly perfumed;ha splatter;frankly until
4;opposite brave temperature;yahoo;aw overcharge;modulo woot fault;glum since
5;among;but pfft ack;tensely;phew exciting;craft sleepily colorfully
6;made-up formalize;gift very;where;randomize;pfft oddly before
7;breakdown gah crossly;safely apud;eek preoccupation;defame wherever;if
8;lest paltry despite;instead buckwheat sole;bartender about reference;burdensome;tenderly
9;where however;times in likely;shady courageously respectful;taunt that pish;up by
10;sane steer mess;besides;aha;yippee to ew;psst next
