id;acronym;name;description;business_handler_clazz
1;paginate;apud shrilly;eulogise;skew atop
2;piracy;submissive;pointless;frightening inhibition likely
3;against boo which;semantics during;till psst ethical;emboss
4;incidentally;apud about;retell pace greatly;occasion
5;curb whistle basic;gosh strip;bud;abaft near underestimation
6;blah unnatural;although yahoo;mmm enthusiastically;immediately blindside
7;shadowy willfully;greatly incidentally;though wherever humour;furthermore within
8;huzzah meaningfully ;oh;chasten;smart
9;calm;how wholly;caribou;developing yippee
10;anxiously er;castigate;tall;that during
