id;acronym;name;description;handler_clazz_name
1;forage that;thigh what reside;clothe fatally via;very capital
2;despite boohoo adjourn;now beside;for;or
3;wrapper kick;fake;oof incidentally;hm if lobster
4;overheat officially bleakly;mirror;prelude diaphragm geez;roasted sour
5;lest instead;demoralize yahoo pish;defrost phony;infer
6;tan;understate afore bongo;wig viola;shrimp mmm vainly
7;cleverly aha;bolt unless huzzah;fortune if;authentic revitalisation
8;oof;overlook evaluate absentmindedly;beneath coolly;worth
9;roughly dereference;stitch yahoo;regarding ha aha;past
10;beyond pro;dreamily enormous waken;atop;as jealously colorful
