id;acronym;name;description;geo_point_location;geo_point_location_content_type;type_of_venue_id
1;bootleg;phooey lively nor;excitedly pine;../fake-data/blob/hipster.png;image/png;1
2;unabashedly;jealous;rage;../fake-data/blob/hipster.png;image/png;2
3;above prohibition busily;consequently until hm;towards sans;../fake-data/blob/hipster.png;image/png;3
4;provided bum;how;tackle kindhearted;../fake-data/blob/hipster.png;image/png;4
5;wildly;significance pulverise readily;nor midst;../fake-data/blob/hipster.png;image/png;5
6;fully although er;moist robust;vest that;../fake-data/blob/hipster.png;image/png;6
7;meanwhile but;consequently menu;kookily;../fake-data/blob/hipster.png;image/png;7
8;likewise wretched;drat;zowie upliftingly until;../fake-data/blob/hipster.png;image/png;8
9;sneeze;mmm determination;drat snicker;../fake-data/blob/hipster.png;image/png;9
10;worth;minus tangible salty;afternoon ah how;../fake-data/blob/hipster.png;image/png;10
