id;acronym;name;description;street_address;house_number;location_name;postal_code;point_location;point_location_content_type;main_email;land_phone_number;mobile_phone_number;fax_number;custom_attributes_details_json;activation_status
1;these;duh extra-large;meh pike;quote;glass fantasy;nab creamy;wild abou;../fake-data/blob/hipster.png;image/png;":`@IYvdjg.tDjx(y";provided yet di;steamroller arr;splinter aw qui;hosiery when unexpectedly;PENDENT
2;out unethically delirious;against singular woot;pace or uh-huh;dungarees windy nor;fossilize tightly;hospitalization fooey;lost;../fake-data/blob/hipster.png;image/png;"1:*ff^@nilZ.x\=7RA";bonsai or thoug;inability;jail above sout;synonym certainty;BLOCKED
3;hire ick wherever;inside anti buffalo;superb abaft;yuck opposite limp;signify upset;detract;aromatic ;../fake-data/blob/hipster.png;image/png;"EYeF@ZD%}up.ui";illustration;uplift;better from;between;ACTIVE
4;beloved;expire;tremendously occupation;duff exhaust deliberately;near readjust;plait;enchant a;../fake-data/blob/hipster.png;image/png;"dK8g@{5`?Y.g";invade eviscera;whenever;meh diligently;productive gosh incidentally;PENDENT
5;of upon;yuck;gravitate;minor business whenever;whereas apropos;wherever;presell d;../fake-data/blob/hipster.png;image/png;"{@Y.*bu3~";what;instead;ouch;ugh yahoo;PENDENT
6;parallel geez professional;lonely;but duh;research kosher adrenaline;murky garrotte;candidate muted;phooey af;../fake-data/blob/hipster.png;image/png;"6h@9f^.a!Z[[D";oh drench;yuck;breakable;madly outstrip effective;BLOCKED
7;e-book crossly distance;huzzah mammoth;with drain;carefully scarcely;fooey daintily anti;deem quicker;green bef;../fake-data/blob/hipster.png;image/png;"wfE@OK&.IP2+";jubilantly boo;violently yahoo;drat;chipmunk zowie why;ACTIVE
8;curiously;timer;simple instead yearningly;out whoever;wildly bright affect;speedily but;drat fier;../fake-data/blob/hipster.png;image/png;"HkU@{.T$DwWT";blah;trifling huzzah;correctly overr;under likewise;BLOCKED
9;normalisation;loudly because;lest animated youthfully;weird comfortable;refurbish although b;amid endorse;eek withi;../fake-data/blob/hipster.png;image/png;"2-Q,@7;_]M.6^L)wY";apud;captivate;opposite relive;delightfully;ON_HOLD
10;mechanically flimsy;assume foolishly;dry;phosphate yuck ouch;barring;repossess energetically;hmph psst;../fake-data/blob/hipster.png;image/png;"l@VUk.s,";pish bronco hor;after ultimatel;cup rebuild tho;wry opposite what;BLOCKED
